#File	results/L1/3_bbmerge/L1_merged.fq
#Total	86561
#Matched	74117	85.62401%
#Name	Reads	ReadsPct
TACI	4558	5.26565%
Fn14	4255	4.91561%
TNFRSF1A	4213	4.86709%
CD27	4173	4.82088%
RANK	4006	4.62795%
TNFRSF1B	3969	4.58521%
EDA2R	3967	4.58290%
CD30	3963	4.57827%
GITR	3735	4.31488%
TROY	3733	4.31257%
DeathR6	3607	4.16700%
HVEM	3521	4.06765%
Fas	3506	4.05032%
IL6Ra	3495	4.03762%
mut.IL6Ra	3480	4.02029%
IL10Ra	3368	3.89090%
OX40	3235	3.73725%
p75NTR	3225	3.72570%
DeathR3	3054	3.52815%
4-1BB	3002	3.46807%
CD40	52	0.06007%
